AGENCIA,CONTA,BANCO,TITULAR,OPERACAO,DATAHORA,VALOR
1086,8730,NUBANK,ANA,DEPOSITO,2022-02-11T12:36:04,984.3
1076,4341,SANTANDER,CRISTINA,SAQUE,2022-02-05T06:32:14,396.22
1086,4871,ITAU,PEDRO,DEPOSITO,2022-02-06T03:27:53,211.28
1061,7571,BRADESCO,ANA,SAQUE,2022-02-11T18:54:00,862.54
1048,7061,BRADESCO,FELIPE,DEPOSITO,2022-02-11T12:48:19,402.85
1090,6891,BRADESCO,MARCELO,SAQUE,2022-02-08T01:30:32,993.66
1071,6088,ITAU,LUCIA,SAQUE,2022-02-11T01:37:31,707.05
1088,2537,NUBANK,MARCELO,SAQUE,2022-02-04T05:18:55,336.41
1040,3599,NUBANK,JOAO,SAQUE,2022-02-10T21:41:20,742.12
1043,3879,SANTANDER,JOAO,SAQUE,2022-02-07T17:30:50,858.37
1036,6449,BB,FELIPE,SAQUE,2022-02-04T18:16:10,647.3
1039,9390,ITAU,PEDRO,SAQUE,2022-02-09T15:40:56,148.84
1076,2262,BB,LUCIA,SAQUE,2022-02-12T10:31:13,414.98
1079,4700,SANTANDER,FELIPE,DEPOSITO,2022-02-05T07:32:23,103.59
1021,0838,ITAU,JOAO,SAQUE,2022-02-04T08:19:19,771.65
1079,6242,BRADESCO,FELIPE,DEPOSITO,2022-02-02T04:41:05,781.14
1007,3599,NUBANK,JOAO,SAQUE,2022-02-10T21:41:20,742.12
1097,6891,BRADESCO,MARCELO,SAQUE,2022-02-08T01:30:32,993.66
1082,8950,SANTANDER,MARCELO,SAQUE,2022-02-08T17:20:56,850.56
1076,3123,BRADESCO,ANA,SAQUE,2022-02-11T13:24:34,812.99
1036,3962,BB,CRISTINA,SAQUE,2022-02-10T02:21:13,920.94
1098,7061,BRADESCO,FELIPE,DEPOSITO,2022-02-11T12:48:19,402.85
1029,9664,ITAU,CRISTINA,DEPOSITO,2022-02-06T05:13:43,731.33
1012,3333,ITAU,MARCELO,DEPOSITO,2022-02-11T17:17:05,664.5
1077,0603,BB,CRISTINA,DEPOSITO,2022-02-08T09:27:35,432.5
1089,3342,BB,ANA,DEPOSITO,2022-02-04T19:36:33,991.56
1086,6756,SANTANDER,CRISTINA,SAQUE,2022-02-04T18:33:33,45.9
1088,6889,NUBANK,JOAO,SAQUE,2022-02-01T23:07:45,744.61
1092,9390,ITAU,PEDRO,SAQUE,2022-02-09T15:40:56,148.84
1013,1114,ITAU,MARCELO,SAQUE,2022-02-06T19:33:53,167.48
1036,5331,BRADESCO,MARCELO,SAQUE,2022-02-05T22:40:28,183.67
1075,9095,NUBANK,MARCELO,SAQUE,2022-02-08T12:30:23,250.26
1056,0535,SANTANDER,LUCIA,DEPOSITO,2022-02-10T21:30:19,103.2
1068,3451,NUBANK,PEDRO,SAQUE,2022-02-09T22:48:53,720.08
1064,6732,BB,PEDRO,DEPOSITO,2022-02-09T08:45:42,674.19
1066,4995,SANTANDER,MARCELO,SAQUE,2022-02-12T02:51:04,315.23
1031,4341,SANTANDER,CRISTINA,SAQUE,2022-02-05T06:32:14,396.22
1024,4658,BB,MARCELO,SAQUE,2022-02-07T14:29:48,745.91
